,gene_name,display_name,biotype,cat_biotype
0,Zfy1,Zfy1,TF,Transcription Factor
1,Zfy2,Zfy2,TF,Transcription Factor
2,Sry,Sry,TF,Transcription Factor
3,Srebf2,Srebf2,TF,Transcription Factor
4,Zfp397,Zfp397,TF,Transcription Factor
5,Ylpm1,Ylpm1,TF,Transcription Factor
6,Zfp35,Zfp35,TF,Transcription Factor
7,Zfp24,Zfp24,TF,Transcription Factor
8,Prox2,Prox2,TF,Transcription Factor
9,Nfe2,Nfe2,TF,Transcription Factor
10,Zhx2,Zhx2,TF,Transcription Factor
11,Nr1i2,Nr1i2,TF,Transcription Factor
12,Cdx1,Cdx1,TF,Transcription Factor
13,E2f6,E2f6,TF,Transcription Factor
14,Dach1,Dach1,TF,Transcription Factor
15,Nkrf,Nkrf,TF,Transcription Factor
16,Insm2,Insm2,TF,Transcription Factor
17,Zfp275,Zfp275,TF,Transcription Factor
18,Zfp92,Zfp92,TF,Transcription Factor
19,Fos,Fos,TF,Transcription Factor
20,Jdp2,Jdp2,TF,Transcription Factor
21,Batf,Batf,TF,Transcription Factor
22,Klf5,Klf5,TF,Transcription Factor
23,Klf12,Klf12,TF,Transcription Factor
24,Snai2,Snai2,TF,Transcription Factor
25,Rhox3a,Rhox3a,TF,Transcription Factor
26,Rhox3a2,Rhox3a2,TF,Transcription Factor
27,Npas4,Npas4,TF,Transcription Factor
28,Rhox3c,Rhox3c,TF,Transcription Factor
29,Tcf20,Tcf20,TF,Transcription Factor
30,5730507C01Rik,5730507C01Rik,TF,Transcription Factor
31,Foxd4,Foxd4,TF,Transcription Factor
32,Olig2,Olig2,TF,Transcription Factor
33,Olig1,Olig1,TF,Transcription Factor
34,Zbtb20,Zbtb20,TF,Transcription Factor
35,Rhox3e,Rhox3e,TF,Transcription Factor
36,Rhox3f,Rhox3f,TF,Transcription Factor
37,Rhox3g,Rhox3g,TF,Transcription Factor
38,Tbx22,Tbx22,TF,Transcription Factor
39,Tfap2a,Tfap2a,TF,Transcription Factor
40,Rhox3h,Rhox3h,TF,Transcription Factor
41,Cebpd,Cebpd,TF,Transcription Factor
42,Myc,Myc,TF,Transcription Factor
43,Rhox10,Rhox10,TF,Transcription Factor
44,Rhox11,Rhox11,TF,Transcription Factor
45,Rhox13,Rhox13,TF,Transcription Factor
46,Zbtb33,Zbtb33,TF,Transcription Factor
47,Dmrt1,Dmrt1,TF,Transcription Factor
48,Gm10139,Gm10139,TF,Transcription Factor
49,Dmrt3,Dmrt3,TF,Transcription Factor
50,Dmrt2,Dmrt2,TF,Transcription Factor
51,Nkx2-1,Nkx2-1,TF,Transcription Factor
52,Nkx2-9,Nkx2-9,TF,Transcription Factor
53,Pax9,Pax9,TF,Transcription Factor
54,Pou3f4,Pou3f4,TF,Transcription Factor
55,Gcm2,Gcm2,TF,Transcription Factor
56,Zscan12,Zscan12,TF,Transcription Factor
57,Zfp712,Zfp712,TF,Transcription Factor
58,Fosl1,Fosl1,TF,Transcription Factor
59,Pou4f1,Pou4f1,TF,Transcription Factor
60,Zfp708,Zfp708,TF,Transcription Factor
61,Gm28557,Gm28557,TF,Transcription Factor
62,Rslcan18,Rslcan18,TF,Transcription Factor
63,Zfp759,Zfp759,TF,Transcription Factor
64,Zscan26,Zscan26,TF,Transcription Factor
65,Rsl1,Rsl1,TF,Transcription Factor
66,Zfp455,Zfp455,TF,Transcription Factor
67,Zfp458,Zfp458,TF,Transcription Factor
68,Hesx1,Hesx1,TF,Transcription Factor
69,Zfp457,Zfp457,TF,Transcription Factor
70,Foxa1,Foxa1,TF,Transcription Factor
71,Zfp595,Zfp595,TF,Transcription Factor
72,Hdx,Hdx,TF,Transcription Factor
73,Zfp953,Zfp953,TF,Transcription Factor
74,Gm28041,Gm28041,TF,Transcription Factor
75,Zfp456,Zfp456,TF,Transcription Factor
76,Hivep1,Hivep1,TF,Transcription Factor
77,Zfp429,Zfp429,TF,Transcription Factor
78,Zfp459,Zfp459,TF,Transcription Factor
79,Zfp874a,Zfp874a,TF,Transcription Factor
80,Esrrb,Esrrb,TF,Transcription Factor
81,Ovol1,Ovol1,TF,Transcription Factor
82,Zfp184,Zfp184,TF,Transcription Factor
83,Zfp874b,Zfp874b,TF,Transcription Factor
84,Zfp58,Zfp58,TF,Transcription Factor
85,Onecut2,Onecut2,TF,Transcription Factor
86,Zfp87,Zfp87,TF,Transcription Factor
87,Zfp748,Zfp748,TF,Transcription Factor
88,Zfp729b,Zfp729b,TF,Transcription Factor
89,Gm49345,Gm49345,TF,Transcription Factor
90,Zfp729a,Zfp729a,TF,Transcription Factor
91,Zfp738,Zfp738,TF,Transcription Factor
92,Zfp65,Zfp65,TF,Transcription Factor
93,Zfp85,Zfp85,TF,Transcription Factor
94,Zfp493,Zfp493,TF,Transcription Factor
95,Dach2,Dach2,TF,Transcription Factor
96,Sox21,Sox21,TF,Transcription Factor
97,Gm9376,Gm9376,TF,Transcription Factor
98,Foxd1,Foxd1,TF,Transcription Factor
99,Zfp273,Zfp273,TF,Transcription Factor
100,Rela,Rela,TF,Transcription Factor
101,Ppara,Ppara,TF,Transcription Factor
102,Gata4,Gata4,TF,Transcription Factor
103,Grhl1,Grhl1,TF,Transcription Factor
104,Tgif2lx2,Tgif2lx2,TF,Transcription Factor
105,Tgif2lx1,Tgif2lx1,TF,Transcription Factor
106,Klf11,Klf11,TF,Transcription Factor
107,Egr1,Egr1,TF,Transcription Factor
108,Hic2,Hic2,TF,Transcription Factor
109,Sox7,Sox7,TF,Transcription Factor
110,Zfp322a,Zfp322a,TF,Transcription Factor
111,4932411N23Rik,4932411N23Rik,TF,Transcription Factor
112,Rfx3,Rfx3,TF,Transcription Factor
113,Zfp366,Zfp366,TF,Transcription Factor
114,Zfp395,Zfp395,TF,Transcription Factor
115,Zfp983,Zfp983,TF,Transcription Factor
116,Six2,Six2,TF,Transcription Factor
117,Gm10226,Gm10226,TF,Transcription Factor
118,Zfp760,Zfp760,TF,Transcription Factor
119,Zfp229,Zfp229,TF,Transcription Factor
120,Pura,Pura,TF,Transcription Factor
121,Zfp820,Zfp820,TF,Transcription Factor
122,Glis3,Glis3,TF,Transcription Factor
123,Zfp995,Zfp995,TF,Transcription Factor
124,Zfp942,Zfp942,TF,Transcription Factor
125,Zfp943,Zfp943,TF,Transcription Factor
126,Zfp947,Zfp947,TF,Transcription Factor
127,Zfp994,Zfp994,TF,Transcription Factor
129,Zfp944,Zfp944,TF,Transcription Factor
130,Zfp758,Zfp758,TF,Transcription Factor
131,Epas1,Epas1,TF,Transcription Factor
132,Zfp946,Zfp946,TF,Transcription Factor
133,Foxp4,Foxp4,TF,Transcription Factor
134,Runx1,Runx1,TF,Transcription Factor
135,Sox11,Sox11,TF,Transcription Factor
136,Zfp945,Zfp945,TF,Transcription Factor
137,Rfx5,Rfx5,TF,Transcription Factor
138,Zfp40,Zfp40,TF,Transcription Factor
139,Zfp213,Zfp213,TF,Transcription Factor
140,Sox2,Sox2,TF,Transcription Factor
141,Zfp13,Zfp13,TF,Transcription Factor
142,Irx1,Irx1,TF,Transcription Factor
143,Irx2,Irx2,TF,Transcription Factor
144,Zscan10,Zscan10,TF,Transcription Factor
145,Irx4,Irx4,TF,Transcription Factor
146,Nanog,Nanog,TF,Transcription Factor
147,Gata2,Gata2,TF,Transcription Factor
148,Bbx,Bbx,TF,Transcription Factor
149,Foxj2,Foxj2,TF,Transcription Factor
150,Sim2,Sim2,TF,Transcription Factor
151,Foxn2,Foxn2,TF,Transcription Factor
152,Zfat,Zfat,TF,Transcription Factor
153,Nfya,Nfya,TF,Transcription Factor
154,Vax1,Vax1,TF,Transcription Factor
155,Emx2,Emx2,TF,Transcription Factor
156,Foxi3,Foxi3,TF,Transcription Factor
157,Myt1l,Myt1l,TF,Transcription Factor
158,Ebf2,Ebf2,TF,Transcription Factor
159,Foxr2,Foxr2,TF,Transcription Factor
160,Klf8,Klf8,TF,Transcription Factor
161,Zfp169,Zfp169,TF,Transcription Factor
162,Zbtb11,Zbtb11,TF,Transcription Factor
163,Elf4,Elf4,TF,Transcription Factor
164,Barx1,Barx1,TF,Transcription Factor
165,Nobox,Nobox,TF,Transcription Factor
166,Zfp950,Zfp950,TF,Transcription Factor
168,Rax,Rax,TF,Transcription Factor
169,Ctcf,Ctcf,TF,Transcription Factor
170,Satb1,Satb1,TF,Transcription Factor
171,Nr3c2,Nr3c2,TF,Transcription Factor
172,Gm21060,Gm21060,TF,Transcription Factor
173,Gsc2,Gsc2,TF,Transcription Factor
174,Mycs,Mycs,TF,Transcription Factor
175,Rfx4,Rfx4,TF,Transcription Factor
176,Zfp280c,Zfp280c,TF,Transcription Factor
177,Nkx2-6,Nkx2-6,TF,Transcription Factor
178,Nkx3-1,Nkx3-1,TF,Transcription Factor
179,Zfp119a,Zfp119a,TF,Transcription Factor
180,Zfp959,Zfp959,TF,Transcription Factor
181,Zfp119b,Zfp119b,TF,Transcription Factor
182,Mbtps2,Mbtps2,TF,Transcription Factor
183,Yy2,Yy2,TF,Transcription Factor
184,Thap11,Thap11,TF,Transcription Factor
185,Pou4f2,Pou4f2,TF,Transcription Factor
186,Egr3,Egr3,TF,Transcription Factor
187,Sox1,Sox1,TF,Transcription Factor
188,Zfp386,Zfp386,TF,Transcription Factor
189,Men1,Men1,TF,Transcription Factor
190,Fezf2,Fezf2,TF,Transcription Factor
191,Foxn3,Foxn3,TF,Transcription Factor
192,E4f1,E4f1,TF,Transcription Factor
193,Prdm4,Prdm4,TF,Transcription Factor
194,Mecp2,Mecp2,TF,Transcription Factor
195,Zfp786,Zfp786,TF,Transcription Factor
196,Ascl4,Ascl4,TF,Transcription Factor
197,Smad1,Smad1,TF,Transcription Factor
198,Zfp398,Zfp398,TF,Transcription Factor
199,Zfp282,Zfp282,TF,Transcription Factor
200,Stox1,Stox1,TF,Transcription Factor
201,Nr3c1,Nr3c1,TF,Transcription Factor
202,Gm19965,Gm19965,TF,Transcription Factor
203,Gm28363,Gm28363,TF,Transcription Factor
204,B020011L13Rik,B020011L13Rik,TF,Transcription Factor
205,Gm28360,Gm28360,TF,Transcription Factor
206,Zfp212,Zfp212,TF,Transcription Factor
207,Zbtb16,Zbtb16,TF,Transcription Factor
208,Gm28168,Gm28168,TF,Transcription Factor
209,Gm7145,Gm7145,TF,Transcription Factor
210,Gm29106,Gm29106,TF,Transcription Factor
211,Tbx1,Tbx1,TF,Transcription Factor
212,Zfp956,Zfp956,TF,Transcription Factor
213,Zfp777,Zfp777,TF,Transcription Factor
214,Erg,Erg,TF,Transcription Factor
215,Lhx8,Lhx8,TF,Transcription Factor
216,Zfp72,Zfp72,TF,Transcription Factor
217,Pou4f3,Pou4f3,TF,Transcription Factor
218,Tcerg1,Tcerg1,TF,Transcription Factor
219,Zfp746,Zfp746,TF,Transcription Factor
220,Mybl1,Mybl1,TF,Transcription Factor
221,Nfatc3,Nfatc3,TF,Transcription Factor
222,Foxp3,Foxp3,TF,Transcription Factor
223,Zfp825,Zfp825,TF,Transcription Factor
224,Gm32717,Gm32717,TF,Transcription Factor
225,Gm32802,Gm32802,TF,Transcription Factor
226,Sox4,Sox4,TF,Transcription Factor
227,Gm9040,Gm9040,TF,Transcription Factor
228,Gm9044,Gm9044,TF,Transcription Factor
229,Gm9045,Gm9045,TF,Transcription Factor
230,Gm9046,Gm9046,TF,Transcription Factor
231,Gm9048,Gm9048,TF,Transcription Factor
232,Gm9049,Gm9049,TF,Transcription Factor
233,Ets2,Ets2,TF,Transcription Factor
234,Pbx2,Pbx2,TF,Transcription Factor
235,Osr2,Osr2,TF,Transcription Factor
236,E2f3,E2f3,TF,Transcription Factor
237,Zfp90,Zfp90,TF,Transcription Factor
238,Zfp41,Zfp41,TF,Transcription Factor
239,Ferd3l,Ferd3l,TF,Transcription Factor
240,Twist1,Twist1,TF,Transcription Factor
241,Sp4,Sp4,TF,Transcription Factor
242,Atoh8,Atoh8,TF,Transcription Factor
243,Sp8,Sp8,TF,Transcription Factor
244,Zfp534,Zfp534,TF,Transcription Factor
245,Zfp984,Zfp984,TF,Transcription Factor
246,Zfp933,Zfp933,TF,Transcription Factor
247,Zfp654,Zfp654,TF,Transcription Factor
248,Mafa,Mafa,TF,Transcription Factor
249,Zbtb18,Zbtb18,TF,Transcription Factor
250,Irf4,Irf4,TF,Transcription Factor
251,Pou1f1,Pou1f1,TF,Transcription Factor
252,Gcm1,Gcm1,TF,Transcription Factor
253,Klf15,Klf15,TF,Transcription Factor
254,Zfp467,Zfp467,TF,Transcription Factor
255,Sox5,Sox5,TF,Transcription Factor
256,Grhl2,Grhl2,TF,Transcription Factor
257,Eno1b,Eno1b,TF,Transcription Factor
258,Pax3,Pax3,TF,Transcription Factor
259,Foxq1,Foxq1,TF,Transcription Factor
260,Hey2,Hey2,TF,Transcription Factor
261,Ascl1,Ascl1,TF,Transcription Factor
262,Foxf2,Foxf2,TF,Transcription Factor
263,Foxc1,Foxc1,TF,Transcription Factor
264,Rfx2,Rfx2,TF,Transcription Factor
265,Barx2,Barx2,TF,Transcription Factor
266,Ahr,Ahr,TF,Transcription Factor
267,Dbx2,Dbx2,TF,Transcription Factor
268,Tcf4,Tcf4,TF,Transcription Factor
269,Atf6b,Atf6b,TF,Transcription Factor
270,Atoh7,Atoh7,TF,Transcription Factor
271,Klf10,Klf10,TF,Transcription Factor
272,Fli1,Fli1,TF,Transcription Factor
273,Arnt,Arnt,TF,Transcription Factor
274,Nkx6-1,Nkx6-1,TF,Transcription Factor
275,Ets1,Ets1,TF,Transcription Factor
276,Meox2,Meox2,TF,Transcription Factor
277,Otx2,Otx2,TF,Transcription Factor
278,Tfb2m,Tfb2m,TF,Transcription Factor
279,Nfil3,Nfil3,TF,Transcription Factor
280,Nfat5,Nfat5,TF,Transcription Factor
281,Dlx6,Dlx6,TF,Transcription Factor
282,Zbtb21,Zbtb21,TF,Transcription Factor
283,Msx2,Msx2,TF,Transcription Factor
284,Gm12258,Gm12258,TF,Transcription Factor
285,2810021J22Rik,2810021J22Rik,TF,Transcription Factor
286,Zfp39,Zfp39,TF,Transcription Factor
287,A630089N07Rik,A630089N07Rik,TF,Transcription Factor
288,Tcf24,Tcf24,TF,Transcription Factor
289,Dlx5,Dlx5,TF,Transcription Factor
290,Zfp775,Zfp775,TF,Transcription Factor
291,Zfp449,Zfp449,TF,Transcription Factor
292,AI854703,AI854703,TF,Transcription Factor
293,Esx1,Esx1,TF,Transcription Factor
294,Spic,Spic,TF,Transcription Factor
295,Etv1,Etv1,TF,Transcription Factor
296,Zfhx3,Zfhx3,TF,Transcription Factor
297,Gabpa,Gabpa,TF,Transcription Factor
298,Bhlhe41,Bhlhe41,TF,Transcription Factor
299,Six6,Six6,TF,Transcription Factor
300,Six1,Six1,TF,Transcription Factor
301,Six4,Six4,TF,Transcription Factor
302,Egr2,Egr2,TF,Transcription Factor
303,Vdr,Vdr,TF,Transcription Factor
304,Glis1,Glis1,TF,Transcription Factor
305,Dmrtb1,Dmrtb1,TF,Transcription Factor
306,Zfp384,Zfp384,TF,Transcription Factor
307,Helt,Helt,TF,Transcription Factor
308,Hif1a,Hif1a,TF,Transcription Factor
309,Smad4,Smad4,TF,Transcription Factor
310,Zfp518a,Zfp518a,TF,Transcription Factor
311,Bach1,Bach1,TF,Transcription Factor
312,Tfdp1,Tfdp1,TF,Transcription Factor
313,Zfp641,Zfp641,TF,Transcription Factor
314,Zbtb12,Zbtb12,TF,Transcription Factor
315,Zfp263,Zfp263,TF,Transcription Factor
316,Zfp174,Zfp174,TF,Transcription Factor
317,Zfp597,Zfp597,TF,Transcription Factor
318,Pou5f2,Pou5f2,TF,Transcription Factor
319,Nr1h4,Nr1h4,TF,Transcription Factor
320,Zbtb7c,Zbtb7c,TF,Transcription Factor
321,Trps1,Trps1,TF,Transcription Factor
322,Smad2,Smad2,TF,Transcription Factor
323,Nr2f1,Nr2f1,TF,Transcription Factor
324,Skor2,Skor2,TF,Transcription Factor
325,Zfp37,Zfp37,TF,Transcription Factor
326,Casz1,Casz1,TF,Transcription Factor
327,Rel,Rel,TF,Transcription Factor
328,Zfp821,Zfp821,TF,Transcription Factor
329,AI987944,AI987944,TF,Transcription Factor
330,Ddn,Ddn,TF,Transcription Factor
331,AW146154,AW146154,TF,Transcription Factor
332,Foxg1,Foxg1,TF,Transcription Factor
333,Gm43517,Gm43517,TF,Transcription Factor
334,Gm6871,Gm6871,TF,Transcription Factor
335,Zfp648,Zfp648,TF,Transcription Factor
336,Irf2,Irf2,TF,Transcription Factor
337,Bhlha15,Bhlha15,TF,Transcription Factor
338,2610021A01Rik,2610021A01Rik,TF,Transcription Factor
339,Zfp788,Zfp788,TF,Transcription Factor
340,Kmt2d,Kmt2d,TF,Transcription Factor
341,Rpf2,Rpf2,TF,Transcription Factor
342,Rfx1,Rfx1,TF,Transcription Factor
343,Zbtb3,Zbtb3,TF,Transcription Factor
344,Bcl11a,Bcl11a,TF,Transcription Factor
345,Gsc,Gsc,TF,Transcription Factor
346,Esr2,Esr2,TF,Transcription Factor
347,Zfp612,Zfp612,TF,Transcription Factor
348,Nr2c2,Nr2c2,TF,Transcription Factor
349,Stox2,Stox2,TF,Transcription Factor
350,Tfap4,Tfap4,TF,Transcription Factor
351,Nkx1-1,Nkx1-1,TF,Transcription Factor
352,Nfatc1,Nfatc1,TF,Transcription Factor
353,Glis2,Glis2,TF,Transcription Factor
354,Pknox2,Pknox2,TF,Transcription Factor
355,Tfe3,Tfe3,TF,Transcription Factor
356,Neurod2,Neurod2,TF,Transcription Factor
357,Nfxl1,Nfxl1,TF,Transcription Factor
358,Zbtb25,Zbtb25,TF,Transcription Factor
359,Zbtb1,Zbtb1,TF,Transcription Factor
360,Cc2d1a,Cc2d1a,TF,Transcription Factor
361,Tsc22d1,Tsc22d1,TF,Transcription Factor
362,Zfp141,Zfp141,TF,Transcription Factor
363,Sall3,Sall3,TF,Transcription Factor
364,Zbtb24,Zbtb24,TF,Transcription Factor
365,Zfp867,Zfp867,TF,Transcription Factor
366,Zfp977,Zfp977,TF,Transcription Factor
367,Zfp976,Zfp976,TF,Transcription Factor
368,Zfp975,Zfp975,TF,Transcription Factor
369,Gm17067,Gm17067,TF,Transcription Factor
370,Gm2381,Gm2381,TF,Transcription Factor
371,Arntl2,Arntl2,TF,Transcription Factor
372,Zic3,Zic3,TF,Transcription Factor
373,Zfp236,Zfp236,TF,Transcription Factor
374,Klf6,Klf6,TF,Transcription Factor
375,Zfp516,Zfp516,TF,Transcription Factor
376,Tshz1,Tshz1,TF,Transcription Factor
377,Ndn,Ndn,TF,Transcription Factor
378,Zkscan17,Zkscan17,TF,Transcription Factor
379,Zfp715,Zfp715,TF,Transcription Factor
380,Tfb1m,Tfb1m,TF,Transcription Factor
381,Ikzf3,Ikzf3,TF,Transcription Factor
382,Etv3,Etv3,TF,Transcription Factor
383,Etv3l,Etv3l,TF,Transcription Factor
384,Pitx2,Pitx2,TF,Transcription Factor
385,Klf13,Klf13,TF,Transcription Factor
386,Zfp951,Zfp951,TF,Transcription Factor
387,Gm45871,Gm45871,TF,Transcription Factor
388,Bnc1,Bnc1,TF,Transcription Factor
389,Zfp219,Zfp219,TF,Transcription Factor
390,Nkx2-3,Nkx2-3,TF,Transcription Factor
391,Rreb1,Rreb1,TF,Transcription Factor
392,Scx,Scx,TF,Transcription Factor
393,Lhx4,Lhx4,TF,Transcription Factor
394,Stat4,Stat4,TF,Transcription Factor
395,Bcl11b,Bcl11b,TF,Transcription Factor
396,Hsf1,Hsf1,TF,Transcription Factor
397,Foxp2,Foxp2,TF,Transcription Factor
398,Scrt1,Scrt1,TF,Transcription Factor
399,Etv5,Etv5,TF,Transcription Factor
400,Myrf,Myrf,TF,Transcription Factor
401,Atf1,Atf1,TF,Transcription Factor
402,Elf1,Elf1,TF,Transcription Factor
403,Gpbp1,Gpbp1,TF,Transcription Factor
404,Elf2,Elf2,TF,Transcription Factor
405,Tfec,Tfec,TF,Transcription Factor
406,Mxd3,Mxd3,TF,Transcription Factor
407,Nacc1,Nacc1,TF,Transcription Factor
408,Barhl2,Barhl2,TF,Transcription Factor
409,Zfp644,Zfp644,TF,Transcription Factor
410,Csrnp2,Csrnp2,TF,Transcription Factor
411,Thra,Thra,TF,Transcription Factor
412,Isl2,Isl2,TF,Transcription Factor
413,Prdm14,Prdm14,TF,Transcription Factor
414,Yy1,Yy1,TF,Transcription Factor
415,Nr1d1,Nr1d1,TF,Transcription Factor
416,Tfcp2,Tfcp2,TF,Transcription Factor
417,Foxh1,Foxh1,TF,Transcription Factor
418,Nfe2l3,Nfe2l3,TF,Transcription Factor
419,Pou6f1,Pou6f1,TF,Transcription Factor
420,Zfp658,Zfp658,TF,Transcription Factor
421,Zfp719,Zfp719,TF,Transcription Factor
422,Zfp819,Zfp819,TF,Transcription Factor
423,Pax2,Pax2,TF,Transcription Factor
424,Foxo3,Foxo3,TF,Transcription Factor
425,Obox8,Obox8,TF,Transcription Factor
426,Zfp251,Zfp251,TF,Transcription Factor
427,Zfp7,Zfp7,TF,Transcription Factor
428,Hand2,Hand2,TF,Transcription Factor
429,Bcl6,Bcl6,TF,Transcription Factor
430,Elk3,Elk3,TF,Transcription Factor
431,Crem,Crem,TF,Transcription Factor
432,Nr2e1,Nr2e1,TF,Transcription Factor
433,Foxo1,Foxo1,TF,Transcription Factor
434,Zfp647,Zfp647,TF,Transcription Factor
435,Zbtb14,Zbtb14,TF,Transcription Factor
436,Cc2d1b,Cc2d1b,TF,Transcription Factor
437,Mef2c,Mef2c,TF,Transcription Factor
438,Hdgf,Hdgf,TF,Transcription Factor
439,Pou5f1,Pou5f1,TF,Transcription Factor
440,Tlx1,Tlx1,TF,Transcription Factor
441,Lbx1,Lbx1,TF,Transcription Factor
442,Litaf,Litaf,TF,Transcription Factor
443,Tbx18,Tbx18,TF,Transcription Factor
444,Lef1,Lef1,TF,Transcription Factor
445,Nfix,Nfix,TF,Transcription Factor
446,Gata1,Gata1,TF,Transcription Factor
447,Trp63,Trp63,TF,Transcription Factor
448,Eno1,Eno1,TF,Transcription Factor
449,Lyl1,Lyl1,TF,Transcription Factor
450,Zkscan14,Zkscan14,TF,Transcription Factor
451,Zkscan5,Zkscan5,TF,Transcription Factor
452,Sall2,Sall2,TF,Transcription Factor
453,Rara,Rara,TF,Transcription Factor
454,Zfp655,Zfp655,TF,Transcription Factor
455,Zscan25,Zscan25,TF,Transcription Factor
456,Tfcp2l1,Tfcp2l1,TF,Transcription Factor
457,Gm14444,Gm14444,TF,Transcription Factor
458,Nr4a1,Nr4a1,TF,Transcription Factor
459,Gm14393,Gm14393,TF,Transcription Factor
460,Zfp438,Zfp438,TF,Transcription Factor
461,Zeb1,Zeb1,TF,Transcription Factor
462,Gm14399,Gm14399,TF,Transcription Factor
463,Prdm1,Prdm1,TF,Transcription Factor
464,Gm14443,Gm14443,TF,Transcription Factor
465,Scrt2,Scrt2,TF,Transcription Factor
466,Gm14391,Gm14391,TF,Transcription Factor
467,Gli2,Gli2,TF,Transcription Factor
468,Obox7,Obox7,TF,Transcription Factor
469,Tcf15,Tcf15,TF,Transcription Factor
470,Gm4631,Gm4631,TF,Transcription Factor
471,Klf1,Klf1,TF,Transcription Factor
472,Zfp968,Zfp968,TF,Transcription Factor
473,Mkx,Mkx,TF,Transcription Factor
474,Gm4724,Gm4724,TF,Transcription Factor
475,Ddit3,Ddit3,TF,Transcription Factor
476,Zfp965,Zfp965,TF,Transcription Factor
477,Gm11007,Gm11007,TF,Transcription Factor
478,Tgif1,Tgif1,TF,Transcription Factor
479,Prrxl1,Prrxl1,TF,Transcription Factor
480,Zfp969,Zfp969,TF,Transcription Factor
481,Mef2d,Mef2d,TF,Transcription Factor
482,Pgr,Pgr,TF,Transcription Factor
483,Gm2007,Gm2007,TF,Transcription Factor
484,Gm6710,Gm6710,TF,Transcription Factor
485,Zfp966,Zfp966,TF,Transcription Factor
486,Creb5,Creb5,TF,Transcription Factor
487,Zfp202,Zfp202,TF,Transcription Factor
488,Gm2026,Gm2026,TF,Transcription Factor
489,Gm2004,Gm2004,TF,Transcription Factor
490,Tead4,Tead4,TF,Transcription Factor
491,2210418O10Rik,2210418O10Rik,TF,Transcription Factor
492,Gm11009,Gm11009,TF,Transcription Factor
493,Obox2,Obox2,TF,Transcription Factor
494,Mixl1,Mixl1,TF,Transcription Factor
495,Gm14434,Gm14434,TF,Transcription Factor
496,Mitf,Mitf,TF,Transcription Factor
497,Obox1,Obox1,TF,Transcription Factor
498,Nr2c1,Nr2c1,TF,Transcription Factor
499,Zfp967,Zfp967,TF,Transcription Factor
500,Gli1,Gli1,TF,Transcription Factor
501,Foxm1,Foxm1,TF,Transcription Factor
502,Gm14308,Gm14308,TF,Transcription Factor
503,Stat1,Stat1,TF,Transcription Factor
504,Bhlha9,Bhlha9,TF,Transcription Factor
505,Srebf1,Srebf1,TF,Transcription Factor
506,Zfp973,Zfp973,TF,Transcription Factor
507,Hes1,Hes1,TF,Transcription Factor
508,Gm14305,Gm14305,TF,Transcription Factor
509,Arnt2,Arnt2,TF,Transcription Factor
510,Gm14295,Gm14295,TF,Transcription Factor
511,Gm14408,Gm14408,TF,Transcription Factor
512,Zfp410,Zfp410,TF,Transcription Factor
513,Sox12,Sox12,TF,Transcription Factor
514,Junb,Junb,TF,Transcription Factor
515,Gm14419,Gm14419,TF,Transcription Factor
516,Gm14401,Gm14401,TF,Transcription Factor
517,Obox3,Obox3,TF,Transcription Factor
518,Pitx3,Pitx3,TF,Transcription Factor
519,Gm14410,Gm14410,TF,Transcription Factor
520,Gm14409,Gm14409,TF,Transcription Factor
521,Gm14412,Gm14412,TF,Transcription Factor
522,Zfp740,Zfp740,TF,Transcription Factor
523,Sim1,Sim1,TF,Transcription Factor
524,Gata6,Gata6,TF,Transcription Factor
525,Obox5,Obox5,TF,Transcription Factor
526,Gmeb1,Gmeb1,TF,Transcription Factor
527,Rarg,Rarg,TF,Transcription Factor
528,Obox6,Obox6,TF,Transcription Factor
529,Gm14418,Gm14418,TF,Transcription Factor
530,Zfp970,Zfp970,TF,Transcription Factor
531,Gm14403,Gm14403,TF,Transcription Factor
532,Zbtb48,Zbtb48,TF,Transcription Factor
533,Gfi1,Gfi1,TF,Transcription Factor
534,Gm14406,Gm14406,TF,Transcription Factor
535,Gm14322,Gm14322,TF,Transcription Factor
536,Gm14325,Gm14325,TF,Transcription Factor
537,Gm14327,Gm14327,TF,Transcription Factor
538,Zfp972,Zfp972,TF,Transcription Factor
539,Gm14326,Gm14326,TF,Transcription Factor
540,Crx,Crx,TF,Transcription Factor
541,Zfp971,Zfp971,TF,Transcription Factor
542,Nfkb2,Nfkb2,TF,Transcription Factor
543,Zfp949,Zfp949,TF,Transcription Factor
544,Tle4,Tle4,TF,Transcription Factor
545,Vax2,Vax2,TF,Transcription Factor
546,C130026I21Rik,C130026I21Rik,TF,Transcription Factor
547,Zfp931,Zfp931,TF,Transcription Factor
548,Rfx6,Rfx6,TF,Transcription Factor
549,Tbx15,Tbx15,TF,Transcription Factor
550,Arx,Arx,TF,Transcription Factor
551,Sp7,Sp7,TF,Transcription Factor
552,Sp1,Sp1,TF,Transcription Factor
553,Pitx1,Pitx1,TF,Transcription Factor
554,Sox10,Sox10,TF,Transcription Factor
555,A530032D15Rik,A530032D15Rik,TF,Transcription Factor
556,Smad9,Smad9,TF,Transcription Factor
557,Rfxap,Rfxap,TF,Transcription Factor
558,Maf,Maf,TF,Transcription Factor
559,Msc,Msc,TF,Transcription Factor
560,Zfp148,Zfp148,TF,Transcription Factor
561,Hnf4g,Hnf4g,TF,Transcription Factor
562,Bsx,Bsx,TF,Transcription Factor
563,Isl1,Isl1,TF,Transcription Factor
564,Atmin,Atmin,TF,Transcription Factor
